City,Date,AQI
"Mee-Seva, Warangal",01-12-2017,77.7037037
"Mee-Seva, Warangal",01-01-2018,94.11111111
"Mee-Seva, Warangal",01-02-2018,96.44444444
"Mee-Seva, Warangal",01-03-2018,79.22222222
"Mee-Seva, Warangal",01-04-2018,82.66666667
"Mee-Seva, Warangal",01-05-2018,81.11111111
"Mee-Seva, Warangal",01-06-2018,83.88888889
"Mee-Seva, Warangal",01-07-2018,69.5
"Mee-Seva, Warangal",01-08-2018,72.83333333
"Mee-Seva, Warangal",01-09-2018,80.0659859
"Mee-Seva, Warangal",01-10-2018,89.2815087
"Mee-Seva, Warangal",01-11-2018,94.22222222
"Mee-Seva, Warangal",01-12-2018,88
"Mee-Seva, Warangal",01-01-2020,89
"Mee-Seva, Warangal",01-02-2020,88
"Mee-Seva, Warangal",01-03-2020,74
"Mee-Seva, Warangal",01-04-2020,41
"Mee-Seva, Warangal",01-05-2020,65
"Mee-Seva, Warangal",01-06-2020,58.25
"Mee-Seva, Warangal",01-07-2020,67
"Mee-Seva, Warangal",01-08-2020,60.8
"Mee-Seva, Warangal",01-09-2020,55
"Mee-Seva, Warangal",01-10-2020,61
"Mee-Seva, Warangal",01-11-2020,91.88888889
"Mee-Seva, Warangal",01-12-2020,91.44444444
"Mee-Seva, Warangal",01-01-2021,81.25925926
"Mee-Seva, Warangal",01-02-2021,88
"Mee-Seva, Warangal",01-03-2021,75
"Mee-Seva, Warangal",01-04-2021,71
"Mee-Seva, Warangal",01-05-2021,51
"Mee-Seva, Warangal",01-06-2021,81
"Mee-Seva, Warangal",01-07-2021,57
"Mee-Seva, Warangal",01-08-2021,60
"Mee-Seva, Warangal",01-09-2021,55.13437612
"Mee-Seva, Warangal",01-10-2021,64
"Mee-Seva, Warangal",01-11-2021,65
"Mee-Seva, Warangal",01-12-2021,69
"Mee-Seva, Warangal",01-01-2022,81.25925926
"Mee-Seva, Warangal",01-02-2022,88
"Mee-Seva, Warangal",01-03-2022,75
"Mee-Seva, Warangal",01-04-2022,71
"Mee-Seva, Warangal",01-05-2022,51
"Mee-Seva, Warangal",01-06-2022,81
"Mee-Seva, Warangal",01-07-2022,57
